"","gender","row","seat","instructor","classid","time","att","class","material","teacher"
"557","m",3,7,"P",1,1,7,8,8,8
"558","m",3,7,"P",1,2,7,8,8,8
"559","m",3,7,"P",1,3,7,8,8,8
"560","m",3,7,"P",1,4,NA,NA,NA,NA
"561","m",3,7,"P",3,1,10,9,8,5
"562","m",3,7,"P",3,2,7,3,3,5
"563","m",3,7,"P",3,3,4,2,1,6
"564","m",3,7,"P",3,4,NA,NA,NA,NA
"565","m",3,7,"R",6,1,6,6.5,8.5,7.5
"566","m",3,7,"R",6,2,7,8.5,7.5,7.5
"567","m",3,7,"R",6,3,5.5,7,6.5,7.5
"568","m",3,7,"R",6,4,4.5,7,6,8.5
"569","m",3,8,"P",0,1,7,8,5,8
"570","m",3,8,"P",0,2,5,8,7,8
"571","m",3,8,"P",0,3,6,7,7,8
"572","m",3,8,"P",0,4,8,9,7,7
"573","m",3,8,"P",1,1,5,8,8,8
"574","m",3,8,"P",1,2,8,7,7,7
"575","m",3,8,"P",1,3,9,6,8,2
"576","m",3,8,"P",1,4,NA,NA,NA,NA
"577","m",3,8,"P",3,1,8,8,7,9
"578","m",3,8,"P",3,2,8,8,8,9
"579","m",3,8,"P",3,3,7,8,7,9
"580","m",3,8,"P",3,4,NA,NA,NA,NA
"581","m",3,8,"R",6,1,4,6,4,9
"582","m",3,8,"R",6,2,5,7,4,8
"583","m",3,8,"R",6,3,3,5,4,9
"584","m",3,8,"R",6,4,5,7,4,8
"585","m",3,9,"P",1,1,7,7,8,6
"586","m",3,9,"P",1,2,8,8,7,5
"587","m",3,9,"P",1,3,4,5,6,4
"588","m",3,9,"P",1,4,NA,NA,NA,NA
"589","m",3,9,"P",2,1,5,8,3,9
"590","m",3,9,"P",2,2,7,8,5,8
"591","m",3,9,"P",2,3,9,7,7,8
"592","m",3,9,"P",2,4,9,7,8,8
"593","m",3,9,"P",3,1,7,8,6,8
"594","m",3,9,"P",3,2,7,7,5,8
"595","m",3,9,"P",3,3,8,8,5,8
"596","m",3,9,"P",3,4,NA,NA,NA,NA
"597","m",3,10,"P",0,1,6,7,6,7
"598","m",3,10,"P",0,2,6,7,7,7
"599","m",3,10,"P",0,3,8,8,7,1
"600","m",3,10,"P",0,4,6,8,7,8
"601","m",3,10,"P",1,1,8,7,8,8
"602","m",3,10,"P",1,2,7,6,8,7
"603","m",3,10,"P",1,3,6,6,7,7
"604","m",3,10,"P",1,4,NA,NA,NA,NA
"605","m",3,10,"P",3,1,5,7,6,8
"606","m",3,10,"P",3,2,7,8,4,8
"607","m",3,10,"P",3,3,8,8,7,8
"608","m",3,10,"P",3,4,NA,NA,NA,NA
"609","m",3,11,"P",0,1,7,5,8,6
"610","m",3,11,"P",0,2,8,7,8,8
"611","m",3,11,"P",0,3,10,9,8,8
"612","m",3,11,"P",0,4,10,10,9,9
"613","m",3,11,"P",3,1,9,9,NA,9
"614","m",3,11,"P",3,2,8,9,NA,9
"615","m",3,11,"P",3,3,6,8,NA,9
"616","m",3,11,"P",3,4,NA,NA,NA,NA
"617","m",3,12,"P",1,1,4,5,5,6
"618","m",3,12,"P",1,2,2,4,5,5
"619","m",3,12,"P",1,3,4,5,5,5
"620","m",3,12,"P",1,4,NA,NA,NA,NA
"621","m",3,12,"P",3,1,9,8,8,8
"622","m",3,12,"P",3,2,7,7,7,7
"623","m",3,12,"P",3,3,6,6,6,6
"624","m",3,12,"P",3,4,NA,NA,NA,NA
"625","m",3,12,"R",5,1,6,NA,3,NA
"626","m",3,12,"R",5,2,2,NA,7,NA
"627","m",3,12,"R",5,3,4,NA,4,NA
"628","m",3,12,"R",5,4,7,NA,6,NA
"629","m",3,13,"P",3,1,10,10,10,10
"630","m",3,13,"P",3,2,10,10,10,10
"631","m",3,13,"P",3,3,10,10,10,10
"632","m",3,13,"P",3,4,NA,NA,NA,NA
"633","m",3,16,"P",0,1,9,NA,3,9
"634","m",3,16,"P",0,2,7,NA,5,9
"635","m",3,16,"P",0,3,9,NA,5,9
"636","m",3,16,"P",0,4,5,NA,6,9
"637","m",3,17,"P",0,1,8,7,7,7
"638","m",3,17,"P",0,2,8,8,7,8
"639","m",3,17,"P",0,3,8,8,7,8
"640","m",3,17,"P",0,4,5,6,5,7
"641","m",4,1,"P",1,1,5,6,7,7
"642","m",4,1,"P",1,2,8,8,7,7
"643","m",4,1,"P",1,3,7,7,8,7
"644","m",4,1,"P",1,4,NA,NA,NA,NA
"645","m",4,1,"P",2,1,3,5,7,7
"646","m",4,1,"P",2,2,9,8,8,7
"647","m",4,1,"P",2,3,6,5,7,7
"648","m",4,1,"P",2,4,6,4,5,6
"649","m",4,1,"P",3,1,8,8,8,9
"650","m",4,1,"P",3,2,7,7,8,8
"651","m",4,1,"P",3,3,7,7,8,8
"652","m",4,1,"P",3,4,NA,NA,NA,NA
"653","m",4,1,"R",4,1,7,8,8,8
"654","m",4,1,"R",4,2,7,8,8,8
"655","m",4,1,"R",4,3,7,7,8,8
"656","m",4,1,"R",4,4,5,6,8,8
"657","m",4,1,"R",5,1,9,9,9,9
"658","m",4,1,"R",5,2,1,NA,NA,NA
"659","m",4,1,"R",5,3,10,6,7,7
"660","m",4,1,"R",5,4,10,8.5,9,8
"661","m",4,2,"P",0,1,6,8,6,9
"662","m",4,2,"P",0,2,5,7,7,8
"663","m",4,2,"P",0,3,7,8,7,8
"664","m",4,2,"P",0,4,9,9,7,7
"665","m",4,2,"R",4,1,5,5,5,6
"666","m",4,2,"R",4,2,5,5,5,6
"667","m",4,2,"R",4,3,6,6,6,6
"668","m",4,2,"R",4,4,5,5,6,6
"669","m",4,3,"P",0,1,2,5,3,7
"670","m",4,3,"P",0,2,6,NA,7,7
"671","m",4,3,"P",0,3,8,8,7,6
"672","m",4,3,"P",0,4,5,NA,6,6
"673","m",4,3,"P",1,1,3,NA,6,3
"674","m",4,3,"P",1,2,8,NA,6,7
"675","m",4,3,"P",1,3,7,NA,7,5
"676","m",4,3,"P",1,4,NA,NA,NA,NA
"677","m",4,3,"P",3,1,7,7,6,8
"678","m",4,3,"P",3,2,8,8,7,8
"679","m",4,3,"P",3,3,8,8,7,8
"680","m",4,3,"P",3,4,NA,NA,NA,NA
"681","m",4,3,"R",4,1,7,6,7,8
"682","m",4,3,"R",4,2,4,4,7,7
"683","m",4,3,"R",4,3,7,6,7,5
"684","m",4,3,"R",4,4,4,5,7,5
"685","m",4,3,"R",5,1,8,8,7,9
"686","m",4,3,"R",5,2,10,8,7,9
"687","m",4,3,"R",5,3,3,7,6,9
"688","m",4,3,"R",5,4,7,7,8,9
"689","m",4,4,"P",0,1,7,8,NA,8
"690","m",4,4,"P",0,2,5,7,NA,8
"691","m",4,4,"P",0,3,6,7,NA,8
"692","m",4,4,"P",0,4,4,6,NA,8
"693","m",4,4,"P",1,1,5,5,5,3
"694","m",4,4,"P",1,2,7,6,8,5
"695","m",4,4,"P",1,3,7,5,8,5
"696","m",4,4,"P",1,4,NA,NA,NA,NA
"697","m",4,4,"P",2,1,9,9,6,8
"698","m",4,4,"P",2,2,8,8,8,7
"699","m",4,4,"P",2,3,9,8,6,6
"700","m",4,4,"P",2,4,5,7,6,6
"701","m",4,4,"R",5,1,5,4,3,5
"702","m",4,4,"R",5,2,7,6,6,6
"703","m",4,4,"R",5,3,2,5,5,6
"704","m",4,4,"R",5,4,6,7,6,7
"705","m",4,5,"P",2,1,3,5,3,7
"706","m",4,5,"P",2,2,6,6,4,6
"707","m",4,5,"P",2,3,9,7,9,7
"708","m",4,5,"P",2,4,5,4,7,6
"709","m",4,5,"R",5,1,10,10,10,9
"710","m",4,5,"R",5,2,8,8,9.5,10
"711","m",4,5,"R",5,3,8,8,9.5,10
"712","m",4,5,"R",5,4,10,8,10,10
"713","m",4,5,"R",6,1,8.5,5,7,7.5
"714","m",4,5,"R",6,2,8,5,7.2,7.5
"715","m",4,5,"R",6,3,7,5,7.5,7
"716","m",4,5,"R",6,4,5,4.5,7.5,8
"717","m",4,6,"P",2,1,1,7,6,8
"718","m",4,6,"P",2,2,6,8,2,5
"719","m",4,6,"P",2,3,1,3,3,5
"720","m",4,6,"P",2,4,3,5,7,6
"721","m",4,6,"P",3,1,8,9,8,9
"722","m",4,6,"P",3,2,8,8,9,9
"723","m",4,6,"P",3,3,9,9,10,10
"724","m",4,6,"P",3,4,NA,NA,NA,NA
"725","m",4,6,"R",6,1,7,6,6,8
"726","m",4,6,"R",6,2,7,7,7,9
"727","m",4,6,"R",6,3,8,8,8,9
"728","m",4,6,"R",6,4,10,8,8,9
"729","m",4,7,"P",1,1,5,8,8,NA
"730","m",4,7,"P",1,2,7,8,8,NA
"731","m",4,7,"P",1,3,6,8,8,NA
"732","m",4,7,"P",1,4,NA,NA,NA,NA
"733","m",4,8,"P",1,1,8,7,8,8
"734","m",4,8,"P",1,2,7,6,8,8
"735","m",4,8,"P",1,3,6,6,7,6
"736","m",4,8,"P",1,4,NA,NA,NA,NA
"737","m",4,8,"P",2,1,5,5,8,6
"738","m",4,8,"P",2,2,5,5,6,6
"739","m",4,8,"P",2,3,6,5,5,7
"740","m",4,8,"P",2,4,5,6,8,7
"741","m",4,8,"R",6,1,6,4,6,9
"742","m",4,8,"R",6,2,7,5,6,9
"743","m",4,8,"R",6,3,7,4,6,7
"744","m",4,8,"R",6,4,7,4,6,6
"745","m",4,9,"R",4,1,7,7,7,8
"746","m",4,9,"R",4,2,8,9,8,8
"747","m",4,9,"R",4,3,4,6,7,8
"748","m",4,9,"R",4,4,5,7,5,8
"749","m",4,9,"R",6,1,4.5,8,9,10
"750","m",4,9,"R",6,2,4.5,8,9,10
"751","m",4,9,"R",6,3,4,7.5,9,10
"752","m",4,9,"R",6,4,3.7,7,9,10
"753","m",4,10,"R",5,1,7,8,6,9
"754","m",4,10,"R",5,2,9,7,9,9
"755","m",4,10,"R",5,3,8,8,7,9
"756","m",4,10,"R",5,4,7,8,8,9
"757","m",4,10,"R",6,1,2,5,8,8
"758","m",4,10,"R",6,2,1,5,8,8
"759","m",4,10,"R",6,3,1,5,8,8
"760","m",4,10,"R",6,4,1.5,5,8,8
"761","m",4,11,"P",0,1,5,9,7,8
"762","m",4,11,"P",0,2,7,9,7,8
"763","m",4,11,"P",0,3,8,3,7,5
"764","m",4,11,"P",0,4,9,8,7,8
"765","m",4,11,"R",5,1,3.5,7,4,7
"766","m",4,11,"R",5,2,2,5.5,3,7
"767","m",4,11,"R",5,3,2,6,3,7
"768","m",4,11,"R",5,4,2,6,4,7
"769","m",4,12,"R",4,1,7,8,4,NA
"770","m",4,12,"R",4,2,6,7,6,NA
"771","m",4,12,"R",4,3,4,7,7,NA
"772","m",4,12,"R",4,4,3,6,8,NA
"773","m",4,12,"R",5,1,6,7,4,5
"774","m",4,12,"R",5,2,6,7,3,5
"775","m",4,12,"R",5,3,3,5,4,5
"776","m",4,12,"R",5,4,7,4,5,6
"777","m",4,13,"R",4,1,6,5,7,9
"778","m",4,13,"R",4,2,4,5,6,9
"779","m",4,13,"R",4,3,4,5,7,9
"780","m",4,13,"R",4,4,3,5,6,9
"781","m",4,14,"R",5,1,9,7.5,9.5,7.5
"782","m",4,14,"R",5,2,9.5,7.5,7,8.5
"783","m",4,14,"R",5,3,5.5,9,7,7.5
"784","m",4,14,"R",5,4,9.5,7.5,8.5,9
"785","m",4,16,"P",0,1,3,6,8,8
"786","m",4,16,"P",0,2,4,5,8,6
"787","m",4,16,"P",0,3,6,8,6,2
"788","m",4,16,"P",0,4,6,7,8,8
"789","m",5,1,"R",5,1,8,5,8,9
"790","m",5,1,"R",5,2,1,5,5,9
"791","m",5,1,"R",5,3,4.5,5,8,9
"792","m",5,1,"R",5,4,5.5,5,8.5,9
"793","m",5,2,"R",5,1,5,7,6,8
"794","m",5,2,"R",5,2,3,7,7,7
"795","m",5,2,"R",5,3,5,7,8,7
"796","m",5,2,"R",5,4,7,7,9,7
"797","m",5,5,"P",2,1,3,7,6,9
"798","m",5,5,"P",2,2,6,7,6,8
"799","m",5,5,"P",2,3,NA,NA,NA,NA
"800","m",5,5,"P",2,4,NA,NA,NA,NA
"801","m",5,5,"R",5,1,8.5,8.5,6.5,9
"802","m",5,5,"R",5,2,7.5,8.5,6.5,9.5
"803","m",5,5,"R",5,3,9,7.5,6.5,9
"804","m",5,5,"R",5,4,8,9.5,9.5,10
"805","m",5,6,"P",2,1,5,6,6,6
"806","m",5,6,"P",2,2,5,6,8,7
"807","m",5,6,"P",2,3,NA,NA,NA,NA
"808","m",5,6,"P",2,4,NA,NA,NA,NA
"809","m",5,6,"R",4,1,8,6,9,9
"810","m",5,6,"R",4,2,7,7,8,9
"811","m",5,6,"R",4,3,7,7,7,9
"812","m",5,6,"R",4,4,8,7,9,10
"813","m",5,6,"R",6,1,8,6,8,8
"814","m",5,6,"R",6,2,4,6,8,8
"815","m",5,6,"R",6,3,4,7,8,8
"816","m",5,6,"R",6,4,9,9,8,9
"817","m",5,7,"R",4,1,5,7,8,9
"818","m",5,7,"R",4,2,6,8,10,8
"819","m",5,7,"R",4,3,8,8,10,10
"820","m",5,7,"R",4,4,7,8,10,10
"821","m",5,7,"R",5,1,8,8,8,8
"822","m",5,7,"R",5,2,3,8,8,8
"823","m",5,7,"R",5,3,3,7,8,8
"824","m",5,7,"R",5,4,8,8,8,8
"825","m",5,8,"P",3,1,7,7,8,8
"826","m",5,8,"P",3,2,7,7,7,7
"827","m",5,8,"P",3,3,6,6,7,6
"828","m",5,8,"P",3,4,NA,NA,NA,NA
"829","m",5,8,"R",5,1,7,8,7,8
"830","m",5,8,"R",5,2,4,6,6,7
"831","m",5,8,"R",5,3,3,6,6,7
"832","m",5,8,"R",5,4,8,7,9,8
"833","m",5,9,"P",2,1,8,7,5,9
"834","m",5,9,"P",2,2,7,6,6,8
"835","m",5,9,"P",2,3,7,5,6,8
"836","m",5,9,"P",2,4,6,6,6,8
"837","m",5,9,"P",3,1,6,NA,9,9
"838","m",5,9,"P",3,2,4,NA,8,9
"839","m",5,9,"P",3,3,2,NA,5,8
"840","m",5,9,"P",3,4,NA,NA,NA,NA
"841","m",5,11,"P",2,1,4,4,3,4
"842","m",5,11,"P",2,2,3,3,2,3
"843","m",5,11,"P",2,3,8,6,7,9
"844","m",5,11,"P",2,4,5,6,4,6
"845","m",5,12,"P",2,1,6,7,7,8
"846","m",5,12,"P",2,2,7,7,7,7
"847","m",5,12,"P",2,3,7,7,5,7
"848","m",5,12,"P",2,4,7,7,8,7
"849","m",5,14,"R",4,1,8,7.5,7.5,7
"850","m",5,14,"R",4,2,4.5,7.5,4.5,7
"851","m",5,14,"R",4,3,8.5,6.5,9.5,7
"852","m",5,14,"R",4,4,8.5,9.5,8.5,7
"853","m",6,5,"P",2,1,6,6,7,8
"854","m",6,5,"P",2,2,9,7,9,9
"855","m",6,5,"P",2,3,6,7,7,8
"856","m",6,5,"P",2,4,7,7,6,8
"857","m",6,5,"R",4,1,6,6,9,9
"858","m",6,5,"R",4,2,8,9,7,8
"859","m",6,5,"R",4,3,7,8,8,9
"860","m",6,5,"R",4,4,6,7,9,8
"861","m",6,5,"R",5,1,5,9,8,9.5
"862","m",6,5,"R",5,2,8,6.5,7.5,8.5
"863","m",6,5,"R",5,3,6.5,7,8,10
"864","m",6,5,"R",5,4,9,9,10,9.5
"865","m",6,6,"P",2,1,3,7,5,8
"866","m",6,6,"P",2,2,5,8,6,7
"867","m",6,6,"P",2,3,7,8,7,8
"868","m",6,6,"P",2,4,3,9,7,8
"869","m",6,7,"R",4,1,7,6.5,10,9
"870","m",6,7,"R",4,2,8,6.5,10,9
"871","m",6,7,"R",4,3,8.5,6.5,9.5,9
"872","m",6,7,"R",4,4,8,6.5,8,9
"873","m",6,7,"R",5,1,9,8,8,9
"874","m",6,7,"R",5,2,8,8,8,10
"875","m",6,7,"R",5,3,10,9,10,10
"876","m",6,7,"R",5,4,10,8,10,10
"877","m",6,9,"R",4,1,8.5,6,4,7
"878","m",6,9,"R",4,2,5,4.5,6,7
"879","m",6,9,"R",4,3,6,4,7,7
"880","m",6,9,"R",4,4,7,4.5,7,7
"881","m",6,9,"R",5,1,8,7,6,7
"882","m",6,9,"R",5,2,6,6,6,7
"883","m",6,9,"R",5,3,8,7,6,8
"884","m",6,9,"R",5,4,7.5,8,9,7
"885","m",6,10,"P",2,1,7,7,8,8
"886","m",6,10,"P",2,2,6,7,5,7
"887","m",6,10,"P",2,3,7,7,5,9
"888","m",6,10,"P",2,4,5,5,7,7
"889","m",6,11,"R",4,1,6,6,7,6
"890","m",6,11,"R",4,2,5,7,8,6
"891","m",6,11,"R",4,3,9,6,9,7
"892","m",6,11,"R",4,4,8,7,9,9
"893","m",6,12,"P",2,1,5,5,6,4
"894","m",6,12,"P",2,2,7,6,7,7
"895","m",6,12,"P",2,3,7,7,3,5
"896","m",6,12,"P",2,4,6,5,10,7
"897","m",6,13,"P",2,1,3,7,7,9
"898","m",6,13,"P",2,2,4,7,6,10
"899","m",6,13,"P",2,3,4,7,7,10
"900","m",6,13,"P",2,4,2,6,6,10
"901","m",6,13,"R",4,1,5,7,6,9.5
"902","m",6,13,"R",4,2,7,7,6,9.5
"903","m",6,13,"R",4,3,7,7.5,6.5,9.5
"904","m",6,13,"R",4,4,6,8,7,9.5
