"","gender","row","seat","instructor","classid","time","att","class","material","teacher"
"112","f",3,3,"P",1,4,NA,NA,NA,NA
"113","f",3,3,"P",3,1,10,9,9,10
"114","f",3,3,"P",3,2,10,10,8,10
"115","f",3,3,"P",3,3,8,8,5,9
"116","f",3,3,"P",3,4,NA,NA,NA,NA
"117","f",3,3,"R",4,1,10,8,8,10
"118","f",3,3,"R",4,2,10,8,9,10
"119","f",3,3,"R",4,3,8,7,7,9
"120","f",3,3,"R",4,4,8,7,7,9
"121","f",3,3,"R",5,1,8,7,8,8
"122","f",3,3,"R",5,2,3,8,8,8
"123","f",3,3,"R",5,3,3,8,8,8
"124","f",3,3,"R",5,4,7,8,8,8
"125","f",3,4,"P",2,1,2,7,6,8
"126","f",3,4,"P",2,2,7,6,7,6
"127","f",3,4,"P",2,3,7,6,5,7
"128","f",3,4,"P",2,4,6,4,8,7
"129","f",3,4,"P",3,1,10,9,8,10
"130","f",3,4,"P",3,2,9,8,8,9
"131","f",3,4,"P",3,3,8,8,7,8
"132","f",3,4,"P",3,4,NA,NA,NA,NA
"133","f",3,4,"R",4,1,10,9,9,9
"134","f",3,4,"R",4,2,9,9,9,9
"135","f",3,4,"R",4,3,10,9,9,9
"136","f",3,4,"R",4,4,10,9,9,9
"137","f",3,4,"R",5,1,7.5,6.5,6.5,8.5
"138","f",3,4,"R",5,2,8,8.5,8.5,8.5
"139","f",3,4,"R",5,3,7.5,8.5,8.5,8.5
"140","f",3,4,"R",5,4,8,8.5,8.5,9.5
"141","f",3,4,"R",6,1,5,6,8,6
"142","f",3,4,"R",6,2,7,7,4,8
"143","f",3,4,"R",6,3,5,7,5,7
"144","f",3,4,"R",6,4,2,6,8,8
"145","f",3,6,"P",2,1,8,7,8,9
"146","f",3,6,"P",2,2,6,5,6,7
"147","f",3,6,"P",2,3,5,5,5,7
"148","f",3,6,"P",2,4,5,4,4,6
"149","f",3,6,"R",5,1,9,8,9,8
"150","f",3,6,"R",5,2,9,9,9,9
"151","f",3,6,"R",5,3,7,9,9,9
"152","f",3,6,"R",5,4,9,9,9,9
"153","f",3,7,"P",2,1,8,8,7,9
"154","f",3,7,"P",2,2,7,8,6,8
"155","f",3,7,"P",2,3,7,8,8,8
"156","f",3,7,"P",2,4,8,8,8,8
"157","f",3,7,"R",4,1,7,5,7,7
"158","f",3,7,"R",4,2,8,6,8,8
"159","f",3,7,"R",4,3,6,4,7,7
"160","f",3,7,"R",4,4,6,4,7,7
"161","f",3,8,"P",2,1,4,4,8,8
"162","f",3,8,"P",2,2,3,5,6,8
"163","f",3,8,"P",2,3,2,5,5,8
"164","f",3,8,"P",2,4,2,6,6,8
"165","f",3,9,"R",4,1,6.5,8.5,8.5,8.5
"166","f",3,9,"R",4,2,8.5,8.5,8.5,7.5
"167","f",3,9,"R",4,3,4.5,6.5,8.5,7.5
"168","f",3,9,"R",4,4,4.5,7.5,8.5,7.5
"169","f",3,10,"P",2,1,3,4,7,8
"170","f",3,10,"P",2,2,5,5,8,8
"171","f",3,10,"P",2,3,7,6,8,8
"172","f",3,10,"P",2,4,7,7,8,8
"173","f",3,10,"R",4,1,8,7,8,8
"174","f",3,10,"R",4,2,8,7,7,8
"175","f",3,10,"R",4,3,7,8,8,8
"176","f",3,10,"R",4,4,6,7,8,8
"177","f",3,10,"R",5,1,8,8,8,8
"178","f",3,10,"R",5,2,8,8,8,8
"179","f",3,10,"R",5,3,7,7,7,8
"180","f",3,10,"R",5,4,8,8,8,8
"181","f",3,11,"P",2,1,10,10,10,10
"182","f",3,11,"P",2,2,8,9,10,10
"183","f",3,11,"P",2,3,9,9,10,10
"184","f",3,11,"P",2,4,9,9,10,10
"185","f",3,11,"R",5,1,6.5,7.5,6.5,7.5
"186","f",3,11,"R",5,2,6.5,7.5,6.5,7.5
"187","f",3,11,"R",5,3,6.5,7.5,6.5,7.5
"188","f",3,11,"R",5,4,6.5,7.5,6.5,7.5
"189","f",3,12,"R",4,1,7,6,9,10
"190","f",3,12,"R",4,2,8,9,9,10
"191","f",3,12,"R",4,3,9,6,9,10
"192","f",3,12,"R",4,4,3,6,9,10
"193","f",3,13,"P",1,1,8,8,10,9
"194","f",3,13,"P",1,2,8,8,10,8
"195","f",3,13,"P",1,3,8,8,9,7
"196","f",3,13,"P",1,4,NA,NA,NA,NA
"197","f",3,14,"R",4,1,9,8,9,9
"198","f",3,14,"R",4,2,8,7,9,9
"199","f",3,14,"R",4,3,8,7,9,9
"200","f",3,14,"R",4,4,9,8,9,9
"201","f",3,15,"P",0,1,6,6,4,7
"202","f",3,15,"P",0,2,7,6,4,7
"203","f",3,15,"P",0,3,3,5,5,7
"204","f",3,15,"P",0,4,4,6,6,8
"205","f",3,15,"P",1,1,7,7,8,6
"206","f",3,15,"P",1,2,6,7,7,6
"207","f",3,15,"P",1,3,7,8,7,8
"208","f",3,15,"P",1,4,NA,NA,NA,NA
"209","f",4,1,"P",0,1,7,7,7,9
"210","f",4,1,"P",0,2,6,6,7,9
"211","f",4,1,"P",0,3,8,8,7,3
"212","f",4,1,"P",0,4,9,8,7,8
"213","f",4,1,"R",6,1,6,7,8,9
"214","f",4,1,"R",6,2,9,9,9,10
"215","f",4,1,"R",6,3,9,7,9,9
"216","f",4,1,"R",6,4,9,7,9,9
"217","f",4,2,"P",2,1,8,7,7,8
"218","f",4,2,"P",2,2,7,6,7,8
"219","f",4,2,"P",2,3,5,4,5,6
"220","f",4,2,"P",2,4,4,5,5,6
"221","f",4,2,"P",3,1,6,9,8,9
"222","f",4,2,"P",3,2,7,9,8,9
"223","f",4,2,"P",3,3,7,8,6,9
"224","f",4,2,"P",3,4,NA,NA,NA,NA
"225","f",4,2,"R",5,1,8,5,8,8
"226","f",4,2,"R",5,2,8,6,9,9
"227","f",4,2,"R",5,3,9,6,9,9
"228","f",4,2,"R",5,4,9,6,9,9
"229","f",4,2,"R",6,1,4,5,5,7
"230","f",4,2,"R",6,2,8,8,9,9
"231","f",4,2,"R",6,3,7,6,8,8
"232","f",4,2,"R",6,4,9,8,8,8
"233","f",4,3,"P",2,1,7,6,8,9
"234","f",4,3,"P",2,2,8,5,8,7
"235","f",4,3,"P",2,3,8,8,8,9
"236","f",4,3,"P",2,4,8,8,8,8
"237","f",4,5,"R",4,1,9,7,8,8
"238","f",4,5,"R",4,2,6,7,7,8
"239","f",4,5,"R",4,3,7,7,8,8
"240","f",4,5,"R",4,4,7,7,8,8
"241","f",4,6,"P",0,1,9,8,7,9
"242","f",4,6,"P",0,2,9,8,6,9
"243","f",4,6,"P",0,3,9,7,6,1
"244","f",4,6,"P",0,4,9,8,6,9
"245","f",4,6,"P",1,1,6,6,8,5
"246","f",4,6,"P",1,2,4,5,8,5
"247","f",4,6,"P",1,3,3,5,8,5
"248","f",4,6,"P",1,4,NA,NA,NA,NA
"249","f",4,7,"P",0,1,8,9,6,6
"250","f",4,7,"P",0,2,7,7,6,6
"251","f",4,7,"P",0,3,5,5,6,6
"252","f",4,7,"P",0,4,7,7,7,6
"253","f",4,7,"R",4,1,7,9,9,9
"254","f",4,7,"R",4,2,9,9,9,10
"255","f",4,7,"R",4,3,8,9,9,9
"256","f",4,7,"R",4,4,9,9,9,9
"257","f",4,8,"R",4,1,10,8,9,10
"258","f",4,8,"R",4,2,10,8,9,10
"259","f",4,8,"R",4,3,9,7,9,9
"260","f",4,8,"R",4,4,10,7,9,9
"261","f",4,9,"R",5,1,10,7.5,10,10
"262","f",4,9,"R",5,2,10,10,7.5,9.5
"263","f",4,9,"R",5,3,10,9.5,9.5,9.5
"264","f",4,9,"R",5,4,9.5,6.5,10,8
"265","f",4,10,"P",2,1,7,8,7,8
"266","f",4,10,"P",2,2,7,7,8,8
"267","f",4,10,"P",2,3,8,8,8,9
"268","f",4,10,"P",2,4,8,8,8,8
"269","f",4,10,"P",3,1,2,NA,9,9
"270","f",4,10,"P",3,2,2,NA,9,9
"271","f",4,10,"P",3,3,3,NA,9,9
"272","f",4,10,"P",3,4,NA,NA,NA,NA
"273","f",4,11,"P",3,1,8,NA,7,7
"274","f",4,11,"P",3,2,6,NA,5,6
"275","f",4,11,"P",3,3,6,NA,5,6
"276","f",4,11,"P",3,4,NA,NA,NA,NA
"277","f",4,13,"P",0,1,8,7,7,8
"278","f",4,13,"P",0,2,6,NA,6,8
"279","f",4,13,"P",0,3,8,NA,7,7
"280","f",4,13,"P",0,4,8,NA,6,7
"281","f",4,14,"P",0,1,6,7,8,9
"282","f",4,14,"P",0,2,6,8,9,9
"283","f",4,14,"P",0,3,6,NA,9,9
"284","f",4,14,"P",0,4,6,NA,8,9
"285","f",4,15,"P",0,1,8,8,7,9
"286","f",4,15,"P",0,2,6,6,2,7
"287","f",4,15,"P",0,3,8,7,4,5
"288","f",4,15,"P",0,4,2,4,1,3
"289","f",5,1,"P",3,1,4,7,5,7
"290","f",5,1,"P",3,2,2,6,2,7
"291","f",5,1,"P",3,3,2,6,1,7
"292","f",5,1,"P",3,4,NA,NA,NA,NA
"293","f",5,10,"R",4,1,7,8,9,8
"294","f",5,10,"R",4,2,9,9,9,8
"295","f",5,10,"R",4,3,9,9,9,8
"296","f",5,10,"R",4,4,7,7,5,8
"297","f",5,10,"R",5,1,6,10,7,9
"298","f",5,10,"R",5,2,6,8,7,9
"299","f",5,10,"R",5,3,9,8,9,9
"300","f",5,10,"R",5,4,10,9,8,10
"301","f",6,5,"P",3,1,5,5,6,6
"302","f",6,5,"P",3,2,6,5,6,7
"303","f",6,5,"P",3,3,6,5,5,5
"304","f",6,5,"P",3,4,NA,NA,NA,NA
"305","f",6,6,"P",3,1,8,5,8,10
